Date,Open,High,Low,Close,Adj Close,Volume
7/27/2015,530.919983,542.840027,524.289978,536.150024,536.150024,10521300
8/3/2015,537.450012,542.73999,518.210022,522.619995,522.619995,16627900
8/10/2015,528.52002,534.659973,513.059998,531.52002,531.52002,14144800
8/17/2015,531.289978,539.48999,494.470001,494.470001,494.470001,18091500
8/24/2015,463.579987,522.690002,451,518.01001,518.01001,30996700
8/31/2015,516.440002,519.409973,493.429993,499,499,16416100
9/7/2015,508.690002,529.950012,508.51001,529.440002,529.440002,13985300
9/14/2015,529.440002,546.969971,517.200012,540.26001,540.26001,18578500
9/21/2015,544.330017,549.780029,521.400024,524.25,524.25,16894600
9/28/2015,520.02002,532.599976,490.5,532.539978,532.539978,22263000
10/5/2015,536.98999,551.5,519.890015,539.799988,539.799988,19920100
10/12/2015,539.960022,570.940002,539.679993,570.76001,570.76001,18549000
10/19/2015,570.76001,619.450012,552.52002,599.030029,599.030029,30537300
10/26/2015,602.299988,630.719971,596.289978,625.900024,625.900024,19753400
11/2/2015,627.130005,662.26001,620.409973,659.369995,659.369995,19719900
11/9/2015,658.650024,675.960022,640.450012,642.349976,642.349976,23471400
11/16/2015,640.919983,672.859985,622.289978,668.450012,668.450012,24827200
11/23/2015,671.5,682.77002,661.210022,673.26001,673.26001,13593200
11/30/2015,675.900024,684.820007,661.400024,672.640015,672.640015,24317400
12/7/2015,674.73999,679.98999,639.619995,640.150024,640.150024,21472800
12/14/2015,641.75,682.5,635.27002,664.140015,664.140015,23570500
12/21/2015,668.5,669.900024,656.630005,662.789978,662.789978,9732800
12/28/2015,665.559998,696.440002,665.5,675.890015,675.890015,16787200
1/4/2016,656.289978,657.719971,605.210022,607.049988,607.049988,33054100
1/11/2016,612.47998,625.98999,565.299988,570.179993,570.179993,32293400
1/18/2016,577.090027,600.099976,547.179993,596.380005,596.380005,22845900
1/25/2016,597.98999,638.059998,570,587,587,42007500
2/1/2016,578.150024,581.799988,499.190002,502.130005,502.130005,38623800
2/8/2016,486.470001,516.75,474,507.079987,507.079987,36471800
2/15/2016,519.47998,541.200012,511.660004,534.900024,534.900024,19652200
2/22/2016,542.200012,562.5,533.150024,555.22998,555.22998,25251600
2/29/2016,554,585,552.51001,575.140015,575.140015,19923900
3/7/2016,573.539978,573.630005,547.900024,569.609985,569.609985,21725400
3/14/2016,567,581.52002,546.090027,552.080017,552.080017,24093700
3/21/2016,548.909973,583.549988,538.580017,582.950012,582.950012,18325500
3/28/2016,584.400024,603.23999,575.559998,598.5,598.5,17003800
4/4/2016,599,602.390015,585.25,594.599976,594.599976,13410500
4/11/2016,596.140015,626.77002,592.309998,625.890015,625.890015,15973500
4/18/2016,625.349976,638.01001,611.559998,620.5,620.5,18706400
4/25/2016,616.609985,669.97998,599.200012,659.590027,659.590027,27456400
