"CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY"
2004,1,5,257
2004,1,5,1027
2004,1,5,1839
2004,1,6,914
2004,1,5,2230
2004,1,6,1415
2004,1,6,1430
2004,1,7,847
2004,1,7,1244
2004,1,1,1150
2004,1,7,1614
2004,1,1,1920
2004,1,5,422
2004,1,2,801
2004,1,1,945
2004,1,2,1643
2004,1,1,341
2004,1,3,611
2004,1,2,1240
2004,1,3,902
2004,1,3,900
2004,1,7,1650
2004,1,3,1635
2004,1,4,840
2004,1,4,915
2004,1,4,910
2004,1,4,1505
2004,1,4,547
2004,1,4,1133
2004,1,4,1724
2004,1,4,1738
2004,1,5,1754
2004,1,5,1955
2004,1,6,812
2004,1,5,1858
2004,1,6,821
2004,1,2,1652
2004,1,2,1810
2004,1,5,2215
2004,1,7,1920
2004,1,6,1435
2004,1,1,1627
2004,1,7,528
2004,1,4,1353
2004,1,5,839
2004,1,2,735
2004,1,1,1450
2004,1,2,1050
2004,1,2,1512
2004,1,1,1613
2004,1,4,1136
2004,1,7,1657
2004,1,1,1135
2004,1,2,1310
2004,1,3,854
2004,1,3,1141
2004,1,4,234
2004,1,4,522
2004,1,4,903
2004,1,3,1706
2004,1,4,1531
2004,1,4,2136
2004,1,4,930
2004,1,5,717
2004,1,5,1011
2004,1,4,2315
2004,1,5,2030
2004,1,5,812
2004,1,6,1055
2004,1,6,1505
2004,1,6,1514
2004,1,7,803
2004,1,7,1008
2004,1,5,1641
2004,1,1,842
2004,1,1,1012
2004,1,1,943
2004,1,1,1001
2004,1,1,1044
2004,1,7,1501
2004,1,4,534
2004,1,1,240
2004,1,1,845
2004,1,7,1158
2004,1,1,840
2004,1,6,1415
2004,1,1,120
2004,1,1,2125
2004,1,2,1456
2004,1,7,2030
2004,1,7,2135
2004,1,2,2000
2004,1,2,2104
2004,1,1,1058
2004,1,3,850
2004,1,3,927
2004,1,3,1000
2004,1,7,1151
2004,1,6,1117
2004,1,2,1239
2004,1,4,940
2004,1,2,1245
2004,1,2,1812
2004,1,3,1553
2004,1,3,1800
2004,1,4,2335
2004,1,3,1322
2004,1,4,825
2004,1,3,948
2004,1,1,235
2004,1,4,1035
2004,1,4,1236
2004,1,4,1458
2004,1,4,2035
2004,1,4,1045
2004,1,5,1844
2004,1,1,937
2004,1,3,915
2004,1,4,1212
2004,1,6,801
2004,1,3,2138
2004,1,6,1351
2004,1,6,1718
2004,1,7,57
2004,1,6,647
2004,1,7,935
2004,1,6,1251
2004,1,6,2131
2004,1,3,1303
2004,1,1,921
2004,1,4,1037
2004,1,7,1107
2004,1,4,2355
2004,1,1,210
2004,1,7,2216
2004,1,2,945
2004,1,6,1319
