"bingedr","frndalc","senseek","age","black","alcmovie","parentmont","cthhsz"
0,1,14,17,0,0.357336653645833,11,3.99000000953674
0,1,11,17,0,0.617526822916667,9,3.24000000953674
0,1,11,16,0,0.609915494791667,12,2.80999994277954
0,1,16,NA,0,0.3317169921875,6,3.10999989509583
0,1,12,14,0,0.3921591796875,9,2.26999998092651
1,1,11,15,0,0.322371484375,12,2.34999990463257
0,0,9,16,0,0.308515169270833,11,2.23000001907349
0,0,6,14,0,0.295749837239583,10,2.77999997138977
0,0,10,13,0,0.0234617329915365,12,3.04999995231628
0,1,20,17,0,0.372001985677083,13,2.88000011444092
0,0,10,15,0,0.41936767578125,12,2.08999991416931
1,1,10,15,0,0.150821028645833,10,2.45000004768372
0,0,8,14,0,0.104827083333333,12,4.73000001907349
0,1,13,17,1,0.47683984375,11,3.8199999332428
0,1,11,16,0,0.323107486979167,12,2.66000008583069
0,0,10,16,0,0.35326083984375,11,2.41000008583069
1,1,13,17,0,0.316112825520833,10,2.26999998092651
0,1,6,16,0,0.6850046875,14,2.6800000667572
0,0,10,14,0,0.111129264322917,12,2.60999989509583
1,1,12,17,0,0.32468115234375,12,2.35999989509583
0,0,10,17,0,0.0728333984375,13,2.86999988555908
1,1,12,18,0,0.6223330078125,11,2.78999996185303
1,1,15,15,0,0.308703515625,12,2.38000011444092
0,1,12,17,1,0.677217513020833,6,2.58999991416931
1,1,11,14,0,0.31732451171875,8,2.22000002861023
0,1,16,18,0,0.3757908203125,8,2.42000007629395
0,1,6,16,0,0.447045182291667,12,2.46000003814697
1,1,19,16,0,0.120676603190104,12,2.5699999332428
0,1,12,18,0,0.35525,8,2.20000004768372
0,1,11,15,0,0.201764339192708,11,3.33999991416931
1,1,15,18,0,0,15,2.86999988555908
0,1,16,15,0,0.177936165364583,6,2.69000005722046
0,0,12,14,0,0.290973665364583,12,2.79999995231628
0,1,12,16,0,0.467265657552083,12,2.28999996185303
0,0,12,16,0,0.249170670572917,11,2.05999994277954
0,0,13,14,1,0.445115169270833,11,2.88000011444092
0,0,9,14,0,0.208329671223958,6.25,1.58000004291534
0,1,9,16,0,0.270559993489583,12,NA
0,1,10,14,0,0.337163834635417,10,2.28999996185303
0,1,14,18,0,0.72216953125,7,2.57999992370605
0,1,14,14,0,0.381261848958333,11,2.5699999332428
